fid,LSOA Code,LSOA Name,GeoPackage Unique ID,LSOA IMD Ranking,IMD Decile,Shape__Area,Shape__Length
3919,E01004118,Sutton 009B,3a63d889-e086-45e3-b782-9a2e3b212ca8,21301,7,695930.386978149,5842.00554174007
2840,E01002984,Kingston upon Thames 012E,517051bf-60e0-4d87-babd-7a8ada394422,19577,6,696632.927368164,5433.98404267162
4251,E01004487,Wandsworth 030C,85a7985f-7cd7-41f9-b078-742f6e7c090c,20894,7,270603.814079285,3055.12661514347
3172,E01003328,Lewisham 035C,4780aac9-f758-466a-a0ef-4712ea0b5300,12322,4,490793.699443817,3301.83748321157
2923,E01003068,Lambeth 031B,887844b7-7f66-41ee-8b73-a3af8600a7ba,12103,4,457398.823539734,5321.51950394893
670,E01000700,Bromley 013A,5014c5d0-efde-4e9a-b669-cb4baf91a9f5,20949,7,514228.309675217,4325.14975221022
1844,E01001943,Hammersmith and Fulham 004A,e8a34807-0e5d-43d3-b6c2-abadc8bc354f,7613,3,1148376.80700684,5852.56237881194
1263,E01001316,Ealing 003B,85c16e92-5389-4e8e-9dd9-cb2560409149,6280,2,467830.457992554,4290.23417051155
32638,E01034599,Harrow 027E,7369be61-2707-4999-9250-95165a222f29,12450,4,419716.575302124,3604.77695421675
1251,E01001304,Ealing 039D,1033a0a3-2b97-4466-af30-eabc0bebd09d,20226,6,298093.996261597,3470.02916798143
1357,E01001411,Enfield 004B,3e6d5175-7584-4f2a-af9e-43cb495ab4da,16137,5,482637.543819427,4883.0596872099
33657,E01035663,Tower Hamlets 004I,1b33b6db-579b-4518-ad4a-fdefb5a3be41,11652,4,249426.767279625,2651.24228374158
3859,E01004057,Southwark 008B,1913d94e-7703-4ec9-9134-6be251269194,15719,5,628290.500879288,6024.65195038304
1689,E01001780,Hackney 032D,acd14bdd-7322-4a31-86a4-feb982e852a7,6535,2,283035.982234955,3496.56204229516
1904,E01002003,Haringey 023C,13fee245-6cf1-48f8-8ee6-fdc66d65a2dc,4444,2,573975.657585144,6900.43548691297
908,E01000949,Camden 023C,8f0695d4-d88e-4c97-bb5d-011f296f9c84,10482,4,160580.095359802,2210.9752144482
3564,E01003739,Redbridge 031C,990a5bf8-52f3-462a-8b87-05ffa8abd7e8,12770,4,743044.357578278,5912.42479192841
29,E01000033,Barking and Dagenham 006A,0f876a92-6a65-4985-8ec6-b754b80ea3ad,6743,2,375423.55859375,4031.20844154002
2236,E01002346,Havering 030C,3be2b63d-58f6-41bd-9afe-55cb415958ff,11222,4,535629.272857666,4367.43452126153
3527,E01003700,Redbridge 006C,fcead9ff-f26d-4d80-a07f-59280c926d1e,16422,5,1705935.8634758,8647.67918941525
2199,E01002309,Havering 006A,6f305e7e-7e76-41e0-a3c1-7bf885e73504,11880,4,720740.519515991,5322.58072103074
3232,E01003389,Merton 013C,836360d1-3e92-4ee9-b3d5-00c947b170e6,9523,3,472816.703460693,5156.13101347602
361,E01000374,Bexley 019A,744453b5-a006-4ca1-baa2-6d2a48410cdc,6407,2,1914506.40536499,9780.89963739219
2685,E01002826,Kensington and Chelsea 008C,92b0aa3f-e2c6-40ed-858c-269bd08c445b,24202,8,566987.243606567,4994.03145804612
4406,E01004648,Westminster 002B,8257297a-b342-4d57-bdc8-4a68fbb44ae0,23070,7,551671.637397766,5395.91009449851
564,E01000586,Brent 032E,fd117a86-a94a-43a8-b38a-086dbf77c5d0,9444,3,385861.237762451,6487.18192220256
576,E01000602,Brent 021C,55eadd23-384a-47c0-b950-a24d8afbdf8d,4092,2,346365.600082397,3847.55257258378
232,E01000244,Barnet 032D,0f96398e-dc7c-4a36-b15f-e790f39b7d12,11148,4,578824.484313965,7387.71342798663
2531,E01002659,Hounslow 019E,2f98951f-9982-44a3-9ebf-c9db9cecc0d0,17845,6,732613.079711914,4269.54745597965
4214,E01004449,Waltham Forest 018E,bb77ff69-631c-4760-9dc3-7b850369ca70,5057,2,471932.654706001,3057.72204243878
4051,E01004271,Tower Hamlets 014C,320f073a-3787-4d8d-a716-4ed4966021ce,8384,3,247395.743488312,3085.62353803315
2625,E01002763,Islington 007D,044258b8-5ccd-4993-9ee5-9491a440a8dd,7197,3,255085.58769989,2888.16430721343
